Disks,Time(seconds)
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.002000
19,0.000000
20,0.000000
21,0.010000
22,0.007000
23,0.009000
24,0.029000
25,0.055000
26,0.103000
27,0.199000
28,0.415000
29,0.784000
30,1.561000
31,3.223000
32,6.240000
33,12.323000
34,24.529000
35,49.553000
36,100.223000
37,200.877000
38,391.731000
39,910.380000
40,1649.496000
41,3146.943000
